Time [s],TGS2620,TGS2602,TGS2603,TGS2610,TGS2611,TGS2600
33,0.1109812154,-0.0006788117,0.0157985742,0.0176991716,0.0383010541,0.0823070455
34,0.1114630228,-0.0006700525,0.0158635277,0.0177625482,0.038470831,0.0823161442
35,0.1119723139,-0.0006553658,0.0159737298,0.0178294625,0.0386297679,0.0823187835
36,0.1124956551,-0.00062322,0.0160968564,0.0179243861,0.0388133216,0.0823295495
37,0.1131463413,-0.0005777272,0.0162944827,0.0180414196,0.039039258,0.0823339402
38,0.1136807971,-0.0005318202,0.0164891238,0.0181395322,0.0392250854,0.082341512
39,0.1141978489,-0.0004772069,0.0167278971,0.0182449705,0.0393944712,0.0823501532
40,0.1146713932,-0.00042088,0.0169909588,0.0183434902,0.0395553203,0.0823602701
41,0.115092479,-0.0003563379,0.0172405591,0.0184351674,0.0396942244,0.0823837254
42,0.1155379486,-0.0002744587,0.0175599107,0.0185456596,0.0398562191,0.08239678
43,0.1158649229,-0.0002062366,0.017862449,0.0186286608,0.0399934525,0.0824179038
44,0.1161479622,-0.0001346419,0.018186193,0.0187162974,0.0401119059,0.0824386117
45,0.1164211634,-7.34764000e-5,0.0185315367,0.0187996462,0.0402490924,0.0824658595
46,0.1166860674,-6.46870000e-6,0.0188794831,0.0188858352,0.040394374,0.082493965
47,0.1169946499,7.96553000e-5,0.0193084686,0.0189768974,0.0405421203,0.0825274275
48,0.1172574109,0.0001527975,0.019689834,0.0190595013,0.0406762567,0.0825711352
49,0.1175177068,0.0002206894,0.0200296682,0.0191352855,0.0408153819,0.0826134071
50,0.1177760524,0.0002923005,0.0203979903,0.0192133401,0.0409450362,0.0826665034
51,0.1180871985,0.0003687165,0.0208057087,0.0192939014,0.0410967721,0.0827144473
52,0.118353143,0.0004421289,0.0211567197,0.0193638903,0.04123773,0.0827736189
53,0.1186121158,0.0005067141,0.0215043509,0.0194265838,0.0413581117,0.0828208465
54,0.1188640892,0.0005734169,0.021860143,0.0194954142,0.0414808327,0.0828784554
55,0.1191112815,0.0006279879,0.0221852318,0.0195529316,0.0415895059,0.0829423448
56,0.1193851055,0.000684999,0.0225497131,0.0196085576,0.041692827,0.0830156625
57,0.1195955297,0.0007198935,0.0228415026,0.0196533986,0.0417627843,0.0830837819
58,0.1197972378,0.0007558607,0.0231458703,0.0196809548,0.0418159095,0.0831578736
59,0.1199677497,0.0007831121,0.0233714229,0.01970429,0.0418508586,0.0832271179
60,0.120117639,0.0008018069,0.0236209355,0.0197115839,0.0418687103,0.0832967383
61,0.1202914114,0.0008111675,0.0238325868,0.0197273204,0.0418973681,0.0833872467
62,0.1204407654,0.0008159383,0.0240247148,0.0197401408,0.0419271766,0.0834701919
63,0.1206028747,0.0008199378,0.0242063039,0.0197522228,0.0419651143,0.083554484
64,0.1207811239,0.0008261122,0.0243727167,0.0197700955,0.042007748,0.0836260672
65,0.1209607946,0.000850526,0.0245691061,0.0197947864,0.0420644604,0.0837064032
66,0.1211967706,0.0008876426,0.0247853716,0.0198351126,0.0421682531,0.083811907
67,0.1214086857,0.0009355267,0.0249712705,0.01986771,0.0422825543,0.0839013445
68,0.1216101328,0.0009936849,0.0251939396,0.019887646,0.0423435188,0.0839900577
69,0.1217700929,0.0010451271,0.0254064205,0.019899971,0.0423556306,0.0840821737
