Measurement_Number,Time [s],TGS2620,TGS2602,TGS2603,TGS2610,TGS2611,TGS2600,Label
2,9,0.0347936089,0.0052600336,0.0072276447,0.0073434025,0.0181938439,0.0245575229,CO
2,10,0.0347882695,0.0052665827,0.0072289774,0.0073494214,0.0182024861,0.024553913,CO
2,11,0.0347875799,0.0052716243,0.0072311213,0.0073617605,0.0182123889,0.0245476335,CO
2,12,0.0347785658,0.0052853935,0.0072318521,0.0073746587,0.0182234299,0.0245498676,CO
2,13,0.0347713327,0.0052868453,0.0072328851,0.0073944858,0.0182340714,0.0245444575,CO
2,14,0.0347733732,0.0052966572,0.0072377897,0.0074094439,0.018241764,0.024540289,CO
2,15,0.0347806221,0.0052969135,0.0072360276,0.007424779,0.0182549523,0.0245584335,CO
2,16,0.0347787906,0.0053080188,0.007242539,0.0074390728,0.018264636,0.0245899409,CO
2,17,0.0347611238,0.005303276,0.0072381377,0.007450533,0.018274152,0.0245503575,CO
2,18,0.0347400923,0.0053049421,0.00723699,0.0074812205,0.0182555127,0.0244756344,CO
2,19,0.0347252143,0.0052885402,0.007226435,0.0074945268,0.0182474806,0.0244158444,CO
2,20,0.0347111689,0.005254427,0.0072024957,0.007493909,0.0182218229,0.0243544427,CO
2,21,0.0346990178,0.005244474,0.0071988681,0.0075011429,0.018213661,0.0242511146,CO
2,22,0.0346784885,0.0052351306,0.00719825,0.0075145627,0.0182118634,0.0242292517,CO
2,23,0.0346764237,0.0052234438,0.0071977874,0.0075311426,0.0182179403,0.024245302,CO
2,24,0.0346655347,0.0052170353,0.0071991638,0.0075317127,0.018224773,0.0242988249,CO
2,25,0.0346582048,0.0052119334,0.0072073329,0.0075477527,0.018237406,0.0243858298,CO
2,26,0.0346607572,0.0052084847,0.0072167808,0.0075637546,0.0182474061,0.0245091782,CO
2,27,0.0347530913,0.0052215905,0.0072426878,0.0075559082,0.0182698818,0.0246135263,CO
2,28,0.0349557519,0.0052502771,0.0072973207,0.0075558733,0.0183225459,0.0246993062,CO
2,29,0.0352379261,0.0052742528,0.0073468036,0.0075637618,0.0184021636,0.0247683599,CO
2,30,0.0355497616,0.0052995108,0.0074038142,0.0075851561,0.0184683066,0.0248400816,CO
2,31,0.035909823,0.0053157619,0.0074659478,0.0076088532,0.0185234399,0.0249003594,CO
2,32,0.0362837766,0.0053421834,0.0075448231,0.0076288462,0.0185772889,0.0249323153,CO
2,33,0.0365688216,0.0053670439,0.0076569294,0.0076375524,0.0186304678,0.0249595976,CO
2,34,0.0368818094,0.0053775007,0.00775742,0.0076551376,0.0186956989,0.0249789212,CO
2,35,0.0371938231,0.0053868789,0.0078467475,0.0076437915,0.0187548987,0.0250039824,CO
2,36,0.037469132,0.005413894,0.0079383438,0.0076758501,0.0188129944,0.0250241602,CO
2,37,0.0377452146,0.005424109,0.0080353832,0.0077303731,0.0188756316,0.0250493866,CO
2,38,0.0379766709,0.0054452253,0.0081430119,0.00776495,0.0189378193,0.0250725603,CO
2,39,0.0382387592,0.0054522955,0.0082123499,0.0077579305,0.0190090709,0.0251046613,CO
2,40,0.0384311445,0.0054644688,0.0082787191,0.0077804381,0.0190602643,0.0251455998,CO
2,41,0.0385884513,0.0054786203,0.0083369133,0.0078046937,0.0191183011,0.0251962274,CO
2,42,0.0386965852,0.0054923537,0.0083847424,0.0078324487,0.0191785061,0.0252441445,CO
2,43,0.0387749989,0.0055149278,0.0084541539,0.0078718739,0.0192410342,0.0252770363,CO
2,44,0.0389108669,0.0055477432,0.0085299367,0.0079143975,0.0192815274,0.0253060452,CO
2,45,0.0390215988,0.0056012385,0.0086297967,0.0079594422,0.0193106825,0.0253532719,CO
2,46,0.0391177006,0.0056661404,0.0087582215,0.0079963777,0.019338427,0.0253867613,CO
2,47,0.0392291895,0.0057551249,0.0089171095,0.0080236695,0.0193569289,0.025409581,CO
2,48,0.039297398,0.0058409556,0.0090508479,0.0080420621,0.0193813145,0.0254271641,CO
2,49,0.0393925608,0.0059180451,0.0092068817,0.0080786629,0.0194090247,0.0254481885,CO
2,50,0.0394790184,0.005989521,0.0093630615,0.0081058192,0.0194234559,0.0254666951,CO
2,51,0.0395269855,0.0060215159,0.009493619,0.0081374057,0.019459362,0.025480486,CO
2,52,0.0395778671,0.0060412993,0.0096220195,0.0081661862,0.0194963461,0.025491174,CO
2,53,0.0395779603,0.0060658206,0.009733382,0.0081894652,0.0195558106,0.0255074771,CO
