Time [s],TGS2620,TGS2602,TGS2603,TGS2610,TGS2611,TGS2600
54,0.1313624251,0.0101663289,0.0399678866,0.0218535033,0.0478295729,0.088153676
55,0.1316563655,0.0104341774,0.0404153728,0.0219264654,0.0478823746,0.0882936929
56,0.1319517526,0.0106365876,0.0408164433,0.0219746398,0.0479406486,0.0884192459
57,0.1323535934,0.0108356702,0.041148561,0.0220189408,0.048039874,0.0885615581
58,0.1327519844,0.0109823126,0.041501513,0.0220496809,0.048115015,0.0887002822
59,0.1330991658,0.0111067463,0.0417678263,0.022076883,0.0481682558,0.0888577579
60,0.1333345393,0.0111895423,0.0420267298,0.0221205035,0.0482372843,0.0890145926
61,0.1335360361,0.0112386791,0.0423008449,0.0221859175,0.0483441047,0.0891757681
62,0.1336959309,0.0112960015,0.0426295882,0.0222837818,0.0484670166,0.0893286797
63,0.1337921415,0.0113837549,0.0430003089,0.0223859295,0.0485872546,0.0894641463
64,0.1338975095,0.0115820863,0.0435630751,0.022516012,0.0487101003,0.089610227
65,0.1339733143,0.0118012981,0.0440679023,0.0225957756,0.0488062567,0.0897274667
66,0.134035509,0.0120232748,0.0445232919,0.0226536921,0.0488592265,0.0898410841
67,0.134052356,0.0122293869,0.0449501708,0.0226895897,0.0488809847,0.0899422131
68,0.1340038611,0.0123908452,0.045325823,0.0227011284,0.0488669936,0.0900393245
69,0.1338701946,0.0125435938,0.0456456868,0.0226890898,0.0488134839,0.0901674178
70,0.1336947636,0.0126329708,0.0458179538,0.0226683964,0.0487414048,0.0902593404
71,0.133491504,0.0127066376,0.0459859681,0.0226432818,0.0486693273,0.0903633354
72,0.1332602995,0.0127601331,0.0460816747,0.0226161812,0.0486058872,0.0904717538
73,0.1330222983,0.0128045838,0.0461924256,0.0225844505,0.0485305191,0.0905818445
74,0.1327391389,0.0128564075,0.0462547844,0.0225555543,0.0484591548,0.0907154216
75,0.1325029289,0.012901779,0.0463271447,0.0225316475,0.0484033902,0.0908197463
76,0.132276533,0.0129415959,0.0464112195,0.0225137148,0.0483613576,0.0909339758
77,0.1320618724,0.0129836775,0.0464639758,0.0225012946,0.0483134527,0.09103518
78,0.1318669321,0.0130275913,0.0464995414,0.0224806344,0.0482756091,0.0911350445
79,0.131652985,0.0130737442,0.0465444813,0.0224667763,0.0482409407,0.0912498292
80,0.1314732157,0.0131111634,0.0465585966,0.0224558762,0.0482085827,0.0913345569
81,0.1313204394,0.013141125,0.0465919237,0.0224448343,0.0481875617,0.0914317889
82,0.131179511,0.0131706354,0.0466061968,0.0224302902,0.0481637294,0.0915214041
83,0.1310199602,0.0131852965,0.0466366932,0.0224155381,0.0481327251,0.0916081168
84,0.1308974546,0.0131980578,0.0466768665,0.0224063685,0.0481078484,0.0916971016
85,0.1307741098,0.0132009952,0.0466359079,0.0223981498,0.0480860247,0.0917784139
86,0.1306662952,0.0131951561,0.046650745,0.0223806225,0.0480641493,0.0918587233
87,0.130557482,0.0131993053,0.0466404385,0.0223721437,0.0480369582,0.0919310893
88,0.1304395609,0.0131900924,0.046618886,0.0223539363,0.0480114172,0.0920180101
89,0.1303311128,0.0131805281,0.0466106444,0.0223460481,0.0479874528,0.0920951382
90,0.1302283433,0.0131654812,0.0465764326,0.022329453,0.0479616857,0.0921625693
91,0.1301332576,0.0131586334,0.0465745015,0.0223186365,0.0479462112,0.0922283411
92,0.130042261,0.013154811,0.0465685413,0.022309525,0.0479253555,0.0922913659
93,0.1299293201,0.0131487063,0.046577449,0.0223000524,0.0479016363,0.0923731946
94,0.1298493421,0.0131467264,0.046544337,0.0222880835,0.0478922049,0.0924353382
95,0.1297954131,0.0131423497,0.046528016,0.0222877822,0.0478766445,0.0924958531
96,0.1297261818,0.0131439315,0.0465112645,0.0222791653,0.0478660652,0.0925529963
97,0.1296649508,0.0131467162,0.0465071887,0.0222736264,0.0478578355,0.0926161642
98,0.1295916657,0.0131445273,0.0464916843,0.0222635026,0.0478422862,0.0926803653
99,0.1295274746,0.0131406535,0.0464626819,0.0222634036,0.0478325355,0.0927369647
100,0.1294710781,0.0131428947,0.0464633336,0.0222567649,0.0478239923,0.0927742722
